BATS_id,type,cruise,cast,mtime,year,month,day,hour,doy,lat,lon,MLD_dens125,MLD_bvfrq,MLD_densT2,MLD_densT3,MLD_densT1,MLD_dens2,MLD_densGR,MLD_te2,DCM,Season,Sunrise,Sunset,par0,kpar,z_par_1pcnt,z_par_halfpcnt,z_par_tenthpcnt,fluor_offset
10001001,1,1,1,726396.9375,1988,10,20,22.5,294,31.783,-64.116,63.5454497159455,31.775191564822,55.6033474196759,61.5599530230669,31.775191564822,65.5309271566576,7.94426066485565,65.5309271566576,NaN,3,1027.46399999996,2134.96399999999,NaN,NaN,NaN,NaN,NaN,NaN
10002001,1,2,1,726430.583333333,1988,11,23,14,328,31.817,-64.183,59.5742697480267,59.5742697480267,59.5742697480267,59.5742697480267,57.5887401241087,59.5742697480267,23.8317894335616,59.5742697480267,NaN,4,1055.23200000001,2108.732,NaN,NaN,NaN,NaN,NaN,NaN
10002002,1,2,2,726430.864583333,1988,11,23,20.75,328,31.825,-64.208,62.5524867274061,60.5669872973805,60.5669872973805,62.5524867274061,60.5669872973805,62.5524867274061,2.97912357705014,62.5524867274061,NaN,4,1055.33199999997,2108.83199999997,NaN,NaN,NaN,NaN,NaN,NaN
10002003,1,2,3,726431.104166667,1988,11,24,2.5,329,31.882,-64.262,64.537662729242,64.537662729242,64.537662729242,64.537662729242,62.5521919096401,64.537662729242,4.96515844944805,64.537662729242,NaN,4,1056.54799999998,2108.548,NaN,NaN,NaN,NaN,NaN,NaN
10002004,1,2,4,726435.625,1988,11,28,15,333,31.833,-64.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,1059.66799999997,2107.16799999997,NaN,NaN,NaN,NaN,NaN,NaN
10003001,1,3,1,726454.302083333,1988,12,17,7.25,352,31.718,-64.218,99.2816318635857,33.7611583117144,97.2964708776861,97.2964708776861,97.2964708776861,99.2816318635857,2.97914989753306,97.2964708776861,NaN,1,1113.37199999999,2109.37199999999,NaN,NaN,NaN,NaN,NaN,NaN
10003002,1,3,2,726455.184027778,1988,12,18,4.41666666666667,353,31.702,-64.152,95.3114164401982,93.3262143691215,93.3262143691215,95.3114164401982,91.3409930635505,97.2965992779584,9.93034399615681,93.3262143691215,NaN,1,1113.60799999999,2109.608,NaN,NaN,NaN,NaN,NaN,NaN
10003003,1,3,3,726456.184027778,1988,12,19,4.41666666666667,354,31.668,-64.043,99.2820411796678,93.326475971399,99.2820411796678,99.2820411796678,97.2968720094811,101.267191118862,3.97220659557975,99.2820411796678,NaN,1,1113.67199999997,2109.67199999997,NaN,NaN,NaN,NaN,NaN,NaN
10003004,1,3,4,726456.420138889,1988,12,19,10.0833333333333,354,31.687,-64.02,81.4146986758045,79.4293594828162,79.4293594828162,79.4293594828162,79.4293594828162,85.3853193380989,75.4586233671631,79.4293594828162,NaN,1,1113.58000000001,2109.58000000001,NaN,NaN,NaN,NaN,NaN,NaN
10003005,1,3,5,726456.604861111,1988,12,19,14.5166666666667,354,31.683,-64.017,91.3411361621222,89.35589251074,89.35589251074,91.3411361621222,89.35589251074,91.3411361621222,85.3853474961135,89.35589251074,NaN,1,1113.56799999996,2109.56799999996,NaN,NaN,NaN,NaN,NaN,NaN
10003006,1,3,6,726456.729166667,1988,12,19,17.5,354,31.675,-63.972,93.3264221248154,79.4294380590241,83.4001011313601,87.3706872418319,81.4147792160089,95.3116286151498,19.8602500951868,83.4001011313601,NaN,1,1113.388,2109.38800000001,NaN,NaN,NaN,NaN,NaN,NaN
10003007,1,3,7,726456.885416667,1988,12,19,21.25,354,31.776,-64.056,108.214100320225,106.229035366356,106.229035366356,106.229035366356,106.229035366356,108.214100320225,3.97217120417352,106.229035366356,NaN,1,1113.72399999997,2109.72399999998,NaN,NaN,NaN,NaN,NaN,NaN
10004001,1,4,1,726494.347222222,1989,1,26,8.33333333333333,26,31.655,-64.207,125.087624812434,119.132803002332,123.102703426258,123.102703426258,123.102703426258,131.042273682063,9.93038247090896,123.102703426258,NaN,1,1116.828,2140.328,-0,-0.905791937075619,NaN,NaN,NaN,NaN
10004002,1,4,2,726494.559027778,1989,1,26,13.4166666666667,26,31.656,-64.224,119.132793185684,107.222631597435,113.177798893778,115.16281621222,113.177798893778,129.057399304726,3.97221052384217,113.177798893778,NaN,1,1116.896,2140.396,NaN,NaN,NaN,NaN,NaN,NaN
10004003,1,4,3,726495.329861111,1989,1,27,7.91666666666667,27,31.69,-64.251,116.154992139233,106.229789183553,112.184968627895,114.169989994605,110.199928037953,124.09480852077,2.9791567770577,110.199928037953,NaN,1,1116.504,2141.504,NaN,NaN,NaN,NaN,NaN,NaN
10004004,1,4,4,726495.695833333,1989,1,27,16.7,27,31.634,-64.141,NaN,75.458952944903,111.192963888116,NaN,91.3415049863887,NaN,73.4735473484231,83.4003828899201,NaN,1,1116.064,2141.064,NaN,NaN,NaN,NaN,NaN,NaN
10004005,1,4,5,726496.583333333,1989,1,28,14,28,31.655,-64.253,123.102703426258,111.19277151501,113.177808219736,115.162825701743,113.177808219736,131.042273682063,109.207715586393,113.177808219736,NaN,1,1116.012,2142.512,NaN,NaN,NaN,NaN,NaN,NaN
10005001,1,5,1,726516.740277778,1989,2,17,17.7666666666667,48,31.651,-64.208,262.992738179023,6.95132064912868,30.7826267124194,231.253011429314,12.9094074486738,306.626865657286,2.97916635364568,22.839166477388,NaN,1,1101.332,2200.832,NaN,NaN,NaN,NaN,NaN,NaN
10005002,1,5,2,726517.388888889,1989,2,18,9.33333333333333,49,31.652,-64.34,277.869025767204,9.93038492567006,198.516266585959,232.244932944827,53.6183531214636,323.483001665626,6.9513200763668,190.57930479356,NaN,1,1100.86,2202.36,NaN,NaN,NaN,NaN,NaN,NaN
10005003,1,5,3,726518.295138889,1989,2,19,7.08333333333333,50,31.65,-64.551,26.8109373526451,18.8673222589168,22.8391683592104,22.8391683592104,20.8532549480085,68.5098588478512,16.8813702907287,20.8532549480085,NaN,1,1100.704,2204.204,NaN,NaN,NaN,NaN,NaN,NaN
10005004,1,5,4,726518.604166667,1989,2,19,14.5,50,31.709,-64.605,234.227699115658,7.94430918396995,13.9023385697518,95.3113614155489,9.93033826317132,NaN,3.97219316779555,13.9023385697518,NaN,1,1100.92,2204.42,NaN,NaN,NaN,NaN,NaN,NaN
10005005,1,5,5,726519.520833333,1989,2,20,12.5,51,31.703,-64.835,46.6684221597818,5.9582637676945,24.8249540355602,28.7966671271155,16.8812965377031,260.016232412162,2.97915358341062,22.8390685772256,NaN,1,1100.84,2205.84,NaN,NaN,NaN,NaN,NaN,NaN
10006001,1,6,1,726551.625,1989,3,24,15,83,31.659,-64.188,14.8953879957888,8.93736297534633,12.9093989386766,12.9093989386766,10.9233905989322,38.7257530678021,4.96524987195049,12.9093989386766,NaN,1,1020.75199999999,2227.252,NaN,NaN,NaN,NaN,NaN,NaN
