year,mixed_1,mixed_2,spring_1,spring_2,strat_1,strat_2,fall_1,fall_2
0,27-Jan-2000,NaT,06-Aug-2000,NaT,NaT,NaT,27-Sep-2000,NaT
0,03-Dec-2006,NaT,NaT,NaT,NaT,NaT,28-Nov-2006,NaT
1988,NaT,NaT,NaT,NaT,NaT,NaT,NaT,NaT
1989,18-Dec-1989,NaT,NaT,NaT,19-Jun-1989,NaT,18-Nov-1989,NaT
1990,02-Dec-1990,NaT,01-Apr-1990,NaT,20-Jun-1990,NaT,04-Nov-1990,NaT
1991,08-Dec-1991,NaT,12-Mar-1991,NaT,17-Jun-1991,NaT,18-Nov-1991,NaT
1992,06-Dec-1992,NaT,11-Apr-1992,NaT,17-May-1992,NaT,27-Sep-1992,NaT
1993,05-Dec-1993,NaT,NaT,NaT,NaT,NaT,NaT,NaT
1994,07-Dec-1994,NaT,02-Jun-1994,NaT,12-Jun-1994,NaT,18-Sep-1994,NaT
1995,13-Dec-1995,NaT,09-Apr-1995,NaT,26-Apr-1995,NaT,10-Nov-1995,NaT
1996,11-Dec-1996,NaT,22-Apr-1996,NaT,05-May-1996,NaT,27-Oct-1996,NaT
1997,08-Dec-1997,NaT,07-Apr-1997,NaT,09-Jun-1997,NaT,05-Oct-1997,NaT
1998,12-Jan-1998,NaT,06-Apr-1998,NaT,01-Jun-1998,NaT,16-Nov-1998,NaT
1999,08-Dec-1999,NaT,06-Apr-1999,NaT,03-May-1999,NaT,14-Sep-1999,NaT
2001,10-Dec-2001,NaT,02-Apr-2001,NaT,13-May-2001,NaT,08-Oct-2001,NaT
2002,08-Dec-2002,NaT,14-Apr-2002,NaT,12-May-2002,NaT,06-Oct-2002,NaT
2003,01-Dec-2003,NaT,01-Apr-2003,NaT,21-Apr-2003,NaT,16-Oct-2003,NaT
2004,07-Dec-2004,NaT,16-May-2004,NaT,14-Jun-2004,NaT,12-Oct-2004,NaT
2005,07-Dec-2005,NaT,04-Apr-2005,NaT,12-Jun-2005,NaT,05-Sep-2005,NaT
2007,04-Dec-2007,NaT,01-Apr-2007,NaT,13-Apr-2007,NaT,05-Sep-2007,NaT
2008,13-Dec-2008,NaT,13-Apr-2008,NaT,28-May-2008,NaT,14-Oct-2008,NaT
2009,07-Dec-2009,NaT,14-May-2009,NaT,09-Jun-2009,NaT,09-Sep-2009,NaT
2010,07-Dec-2010,NaT,11-May-2010,NaT,20-Jun-2010,NaT,18-Oct-2010,NaT
2011,07-Dec-2011,NaT,06-Apr-2011,NaT,26-Apr-2011,NaT,27-Sep-2011,NaT
2012,09-Dec-2012,NaT,06-Mar-2012,NaT,17-May-2012,NaT,10-Sep-2012,NaT
2013,08-Dec-2013,NaT,22-Apr-2013,NaT,14-May-2013,NaT,13-Nov-2013,NaT
2014,09-Dec-2014,NaT,28-Apr-2014,NaT,10-Jun-2014,NaT,26-Sep-2014,NaT
2015,10-Dec-2015,NaT,22-Apr-2015,NaT,10-May-2015,NaT,27-Nov-2015,NaT
2016,15-Dec-2015,01-Apr-2016,01-Apr-2016,20-Apr-2016,20-Apr-2016,01-Nov-2016,01-Nov-2016,22-Nov-2016
2017,22-Nov-2016,10-Apr-2017,10-Apr-2017,26-Apr-2017,26-Apr-2017,01-Oct-2017,01-Oct-2017,01-Jan-2018
2018,01-Jan-2018,05-Apr-2018,05-Apr-2018,26-Apr-2018,26-Apr-2018,01-Nov-2018,01-Nov-2018,15-Dec-2018
2019,15-Dec-2018,27-Mar-2019,27-Mar-2019,18-Apr-2019,18-Apr-2019,06-Nov-2019,06-Nov-2019,06-Dec-2019
2020,06-Dec-2019,01-Apr-2020,01-Apr-2020,15-Apr-2020,15-Apr-2020,01-Nov-2020,01-Nov-2020,15-Dec-2020
2021,15-Dec-2020,01-Apr-2021,01-Apr-2021,25-Apr-2021,25-Apr-2021,20-Oct-2021,20-Oct-2021,26-Nov-2021
2022,26-Nov-2021,05-Apr-2022,05-Apr-2022,01-May-2022,01-May-2022,01-Nov-2022,01-Nov-2022,15-Dec-2022
2023,15-Dec-2022,01-Apr-2023,01-Apr-2023,25-Apr-2023,25-Apr-2023,01-Nov-2023,01-Nov-2023,15-Dec-2023
