"Cruise_ID","Cast","Niskin"
"AE1810",1,12
"AE1810",1,13
"AE1810",1,14
"AE1810",1,15
"AE1810",1,16
"AE1810",1,17
"AE1810",1,18
"AE1810",1,19
"AE1810",1,20
"AE2009",15,7
"AE2009",15,8
"AE2009",15,9
"AE2107",1,2
"AE2107",1,4
"AE2107",1,6
"AE2107",1,8
"AE2107",1,10
"AE2107",1,12
"AE2107",1,14
"AE2107",1,16
"AE2107",1,18
"AE2107",1,20
"AE2107",1,22
"AE2107",3,4
"AE2107",3,8
"AE2107",3,12
"AE2107",3,16
"AE2107",3,20
"AE2107",5,1
"AE2107",5,3
"AE2107",5,5
"AE2107",5,7
"AE2107",5,9
"AE2107",5,11
"AE2107",5,13
"AE2107",5,15
"AE2107",5,17
"AE2107",5,19
"AE2107",5,21
"AE2107",5,23
"AE2107",6,1
"AE2107",6,3
"AE2107",6,5
"AE2107",6,7
"AE2107",6,9
"AE2107",6,13
"AE2107",6,15
"AE2107",6,17
"AE2107",6,19
"AE2107",6,21
"AE2107",6,23
"AE2114",3,23
"AE2114",6,14
"AE2114",6,15
"AE2114",6,16
"AE2114",6,17
"AE2114",6,18
"AE2123",1,20
"AE2123",1,21
"AE2123",1,22
"AE2123",1,23
"AE2315",11,12
"AE2315",11,13
"AE2315",11,14
"AE2315",11,15
"AE2315",11,16
"AE2315",11,17
"AE2315",11,18
"AE2315",11,19
"AE2315",11,20
"AE2315",11,21
"AE2315",11,22
"AE2315",11,23
"AE2315",20,11
"AE2315",20,12
"AE2315",20,13
"AE2315",20,14
